run_id,composite_score,top_k_final,top_k_sparse,temperature,top_k_dense,hybrid_alpha,reranker_boost,rank
502222fdc69b4ea7b0a5e0533eae24de,4.669584455616758,3,2,0.2,4,0.8,0.2,1
73007265818b4117891d5ba745656f48,4.658764849179059,3,2,0.0,4,0.8,0.4,2
11fe43bd6bee42eca87772bb1d9122f0,4.658764849179059,3,4,0.0,3,0.8,0.3,3
3c7257a4c10a495e81e97c91300fe228,4.353081487226514,3,2,0.0,2,0.8,0.3,4
317258e19a934a9f8893e2b4acd4cf6c,4.353081487226514,3,4,0.0,3,0.7,0.3,5
f1d87534d3e24a0c8a0e85baf1131193,4.353081487226514,3,2,0.0,2,0.7,0.4,6
dc04ad52d7184b52a2f6d79630203c3b,4.296778608388515,2,2,0.0,2,0.7,0.2,7
fb83848b548546208ee1bfcdbd511574,4.199070448788506,2,4,0.2,2,0.8,0.2,8
e565f34bd2ba42d9abf74049d0670cd8,4.191739031044453,3,4,0.2,4,0.8,0.3,9
a3bd9d8ba695467db9b8a1ca173fb930,4.191255249416503,3,4,0.2,3,0.7,0.3,10
e72a0415846b484e8d39ef5c34d60c32,4.163112077420281,3,2,0.4,4,0.6,0.4,11
3a55399e799f4543b52b102b97edb3a2,4.156667601907355,2,4,0.0,3,0.8,0.4,12
33c05a2ff56f4ab4bb0f0a7961d5577c,4.130643179284483,2,2,0.2,4,0.8,0.3,13
f9c84a09c16f498c9af04a0bf3aaa9c7,4.118634745556699,2,4,0.2,2,0.7,0.3,14
76dd1cb98c0b48279d7a73ef23b3b3ac,4.1055982777858,2,4,0.2,3,0.8,0.2,15
a708b5c0ec6d4178a3d9574ca936010c,4.079596552011665,3,2,0.4,3,0.5,0.3,16
80c603fcbbce4c8182cc3131232292d3,4.066451961985613,3,4,0.4,2,0.8,0.2,17
98c44a8ece074f09a690d38504ad3481,4.0444838438903385,3,2,0.4,3,0.7,0.3,18
634e5fffd8cc4a5692897587c996d71f,4.016737971294274,3,2,0.4,4,0.5,0.4,19
072fd8aed00b43869d9f8416e34ed5e5,4.011984036450762,2,2,0.2,2,0.8,0.3,20
cdf10c49b1cf46c2914f48cc86285ca7,3.9979431939447494,2,2,0.0,3,0.7,0.4,21
d8429deb909e4197a19a2203e8f655a3,3.9821022423695984,3,2,0.2,2,0.8,0.3,22
a6bbb2a6342343c9b7cd2fc23d81bec0,3.9777203846414375,2,2,0.2,4,0.8,0.3,23
79e9ff6615b44d53915db80ab1f9fef3,3.969577198096805,3,2,0.0,3,0.6,0.3,24
41b383bce7384a60bebe50ec940277d9,3.837024280883436,2,2,0.2,3,0.8,0.3,25
4c2f03df0cba43a98699ceaa846007cf,3.8176663306052445,3,2,0.2,4,0.7,0.2,26
2e9edc7656b342399184a4094eaaba09,3.638325502388869,3,4,0.2,3,0.6,0.2,27
27c0cd2410d0459996d1736992f3aa1b,3.594433253176737,3,4,0.2,4,0.6,0.4,28
759b9cd70d7141a6b6bb416b1f95c661,3.5593453529750443,3,4,0.2,4,0.6,0.2,29
c9aaefee57a24a68a4937df4ece9cb29,3.4639446244945242,2,2,0.4,4,0.6,0.3,30
c5a6ebf0976d4016838335ea4a75fc0c,3.451597741072475,2,2,0.0,2,0.6,0.3,31
aa3e6a17dcf2472189548c098d40496b,3.451597741072475,2,2,0.0,4,0.6,0.2,32
193182bb93004e48b50b313082347995,3.4398851032880886,3,4,0.4,3,0.6,0.3,33
036827978b254047afe9d8d56aafd157,3.4157652615702148,3,4,0.2,2,0.6,0.4,34
c65d7a7ea5ef4e24861cbdf6483c526d,3.3596904727381327,2,4,0.0,4,0.7,0.2,35
046114d2a92a4f8e94475a39630fdf91,3.0589664151237432,2,2,0.0,2,0.5,0.3,36
c9f088faff5849bbb9cfa7f8e4e4b58b,3.019578479896535,2,4,0.4,3,0.5,0.3,37
d91a56efeb6346f09cdc783c05b0ca34,2.9568794946224837,3,4,0.2,2,0.5,0.2,38
b25b4f59132d403fbfdbdfd2a42aa4f4,2.8977958005378994,3,4,0.0,2,0.5,0.3,39
9aa0af67a5ad4e549e4e1494661e3bac,2.8977958005378994,3,4,0.0,2,0.5,0.2,40
7b352282e1fd4bcfa2cba6d1c73045f8,2.867377819640712,3,4,0.2,3,0.5,0.3,41
80a9e2ebbdb24464b2f8b3d0bae8fbe2,2.85258992748545,3,4,0.2,4,0.5,0.4,42
facf5e2512974327946b2469002f1807,2.851021529376682,2,4,0.0,3,0.5,0.4,43
76b5b17eccc942e2a41e94344100a202,2.8330477844916833,2,4,0.4,4,0.6,0.3,44
a88b56024dfe4ee7a4d66490dc43276c,2.8222868279717477,2,4,0.0,4,0.6,0.2,45
57e2267dfa784d91b0e5bae296a9c885,2.8222868279717477,2,4,0.0,3,0.6,0.4,46
e83a1ed4f5434991bb926b1769f480e7,2.8036783940763175,3,4,0.4,3,0.5,0.2,47
ba3fd3d738ca4e5dad2b80e1f522b9a9,2.7995099943376274,2,2,0.4,2,0.5,0.2,48
20c1fcb2c1bc4e489b65a26fc4029c57,2.7729102938974584,2,4,0.2,4,0.5,0.2,49
a8d23a6836a94b72a27b88c59e809d19,2.750121952155528,2,4,0.2,3,0.5,0.4,50
